content,title
1、在眼圈周围涂上蜂蜜；2、用纱布蘸上酸奶，敷在眼睛周围；3、将鸡蛋煮熟后去壳，用小毛巾包裹住，按摩眼睛四周；4、将含汁量多的苹果切片，敷双眼；5、土豆去皮切成约2厘米的厚片，外敷双眼。,轻松祛除眼袋防黑眼圈
要养成天然美女其实也不难，日常生活中的小细节就可以让你每天就会见到奇迹哦。#小智慧#@女人天生爱化妆,速变美女的秘诀
在你的U盘中建个空的文件夹，命名为autorun.inf。如果你的U盘无法完成重命名，这说明你的U盘已中毒，这时，那么建议你先备份重要文件，再格式化。原理是：大多数病毒是先建立autorun.inf再键入内容，病毒在进入C盘时就是通过这个文件夹里内部文件来为媒介的。,鉴定你的U盘是否中毒
"专家指出:往往上班玩游戏的员工,他的大脑要比专心工作的人聪明65%。比如某员工上班玩游戏的人,他的精力投在玩上,大脑的灵活率极度升高，而专心工作的员工没有一点灵活的空间,在社会上能干大事的人,据专家统计85%都没上过大学本科。",爱玩游戏能干大事
将手心朝下平放在桌面，然后五指张开，用另一手的指腹将拇指及食指下交接部位的肌肤用力夹起五秒钟（如下图），然后放开，若是马上皮肤缩回，表示你的生理年龄还很年轻，若超过5秒钟才完全恢复正常，代表你已经比实际年龄还要衰老了……,测试你老化了没有？
美眉们注意啦！#瘦身#@时尚旅游百科,20分钟美臀舞
送给用本本上网的童鞋们，要好好爱护你的小本本哦！#小知识#,笔记本基本维护保养
"1.黑芝麻(增加细胞免疫) 2.西红柿(减少皮肤辐射损伤,祛斑)3.紫菜(抗辐射圣品) 4.辣椒(保护细胞的DNA不受辐射破坏)5.绿茶(减轻辐射对人体的不良影响) 6.海带(抗辐射) 7.大蒜(减少辐射损伤) 8.绿豆(有助于排泄体内毒物) 9.黑木耳(清胃、涤肠、防辐射)#小智慧#",电脑族要常吃的9种防辐射食物
按图示的动作，每天坚持重复20次，一星期减2公斤，不用控制食欲，立马给你漂亮身材。一开始的时候身上有点酸痛，坚持一段时间后，很快就适应了，大家一起加油吧！（全套10个动作  5/10）,韩国超有效的减肥法，每天只需10分钟
已经走入职场的你，或者即将走入职场的你，这些规则对你来说，绝对值得一读！#小知识#,10个公司绝对不会告诉你的潜规则
夏天到了，你放松了对辛辣油腻食物的警惕，任由它们被超量摄入，影响体内循环代谢。再加上一年四季都摆脱不了的压力过大、作息不规律，积蓄在体内的各种“火气”——胃火、肝火、肺火、心火，就这样疯狂燃烧起来首先灼伤的，就是你的肌肤。#小智慧#,摆脱胃火、肝火、肺火、心火
1. 草莓亮白牙齿；2. 牙膏治疗疱疹；3. 菠萝汁洁面； 4. 冰牛奶舒缓灼伤；5. 消毒药片洁甲；6. 柠檬汁恢复肤色；7. 橄榄油婴儿油卸唇妆；8. 阿司匹林去痘； 9. 柠檬汁护发；10. 粗盐去黑头； 11. 眼霜消丘疹,美容妙计
1.洋葱；2.玉米 ；3.苹果；4.韭菜； 5.蘑菇； 6.冬瓜； 7.海带； 8.鸡蛋； 9.豆腐； 10.芹菜 #小智慧#,最有效的十大刮油食物
一、圆脸(对人际关系及财运都有加分)；二、下巴丰满（可能会拥有两栋以上的房产）；三、臀大(代表有财运)；四、腿不能细（腿长脚瘦，奔走不停，辛苦之相也）；五、小腹有脂肪(状是一种福寿之相)。(via @创意时尚空间）,啥面相女人这辈子命最好
25条教你看穿人们的小动作。比如通常最色的男生不是经常讲荤段子的，而往往是平时十分正经，对色情的事情强烈愤慨的人，才是真的很色…………手机党mark，make随意……,25条教你看穿人们的小动作
【简单小办法让电脑运行速度加快】快试试吧~#小窍门#,简单小办法让电脑运行速度加快
《加勒比海盗：惊涛怪浪》：5月20日、《不再让你孤单》：5月20日(因为谐音\'我爱你\') 、《功夫熊猫2》：5月28日、《速度与激情5》：5月12日 、《雷神》《大太阳》《百年情书》：5月6日 、《最爱》《蔡李佛拳》：5月10日 、《男得有爱》5月13日 P.S你想看哪部？[色],5月上映电影大集合！
每一次做爱，会消耗体内至少120个卡路里，科学家指出：每周只要做爱三次，每次持续20分钟，便有减肥功效，经常做爱的人，平均寿命较一般人要长10年。（@微博经典趣事）,没想到做爱还有这功效
1、眼珠运动法：头向上下左右旋转，眼珠也转动。2、眨眼法：头向后仰并不停眨眼。轻微疲劳只要做2~3次即可。3、看远看近法：看远方3分钟，再看手掌1~2分钟，再看远方。为了各位的眼睛转发分享~~,缓解眼疲劳小知识
①幼儿的早餐-应当注重补充丰富的蛋白质和钙，尽量少吃含糖较高的食物；②青少年的早餐-需要足够的钙、维生素C、维生素A等营养成分，尤其是要保证充足的热量供应；③中年人的早餐-既要含有丰富的蛋白质、维生素、钙、磷等，还应保证低热量、低脂肪。,不同年龄人群有不同的最佳早餐搭配需求
电脑死机，相信是很多朋友经常遇到的事。一发现死机，我们通常都会直接按开关机键（这样有时会对电脑硬件有所损害），孰不知，有时电脑并未真正死机，只不过是处于一种假死的状态。一起来学习下怎么避免这种情况吧！#小窍门#,避免电脑假死机
【最养男人的十二种食物】：西红柿、黄豆、南瓜子、胡萝卜、海鲜、大蒜、高维生素C食物、全麦面包、水、深海鱼。【女性十种最佳养生食物】：菠菜护脑、红薯护眼、海带护发、番茄护肺、香蕉护腿、深海鱼护心、黑豆护肾、甘蓝护胃、鸡蛋护甲、西蓝花护肤。精彩博文、转发收藏吧。,最佳养生食物，分男女的哦
①、胡萝卜：加快大脑的新陈代谢；②、菠萝：提高工作学习效率；③、白菜：能减少紧张情绪；④、柠檬：有助于集中精力；⑤、海虾：长时间保持精力集中；⑥、洋葱头：改善大脑氧的供应状况；⑦、香蕉：含血清素给大脑供养；⑧、海带：缓解工作学习后的疲劳感。,用脑一族吃8种食物可提升脑力、记忆力
在我们的拇指上有三个相邻接的穴道，分别是明眼、凤眼、大空骨（如下图）。明眼、凤眼能够改善眼睛疲劳和急性结膜炎，大空骨则可改善一切有关眼睛的症状。平时眼睛容易疲劳的人，每天要刺激这三个穴道两次。此方法还可以抑制老人性的白内障。转给与我一样的微博控们。,视力保健穴位
1.吃得太油腻，喝杯芹菜汁；2.吃火锅后喝点酸奶，可有效保护胃肠道黏膜；3.消化不良，饭后喝大麦茶或橘皮水；4.吃方便面后吃水果，可以有效补偿维生素与矿物质的不足；5.吃蟹后喝生姜红糖水，能祛寒暖胃、促进消化、缓解胃部不适；6.饭后吃个柿子，可润肺生津、养阴清燥。,告诉你各种饭局后怎样养生
1.《沉默的羔羊》 2.《致命ID》 3.《七宗罪》 4.《教父》5.《两杆大烟枪 》 6.《罪恶之城》 7.《蝙蝠侠前传：黑暗骑士》 8.《猫鼠游戏》 9.《香水》 10《变脸》   你看过几部了呢？[欢欢],十部不得不看的经典犯罪片
童鞋（同学）、鸡冻（激动）、神马（什么）、稀饭（喜欢）、木有（没有）、帅锅（帅哥）、酱紫（这样子）、银（人）、小强（蟑螂）、汗（惭愧）、灰常（非常）、汗（吃惊）、表嘛（不要嘛）、打酱油的（路过）、给力（带劲）、菌男（俊男）、霉女（美女）、囧（无奈）,围脖必知的18个词汇
在过宿舍集体生活的童鞋都来学习一下，怎样更好的提高自己修养，和舍友们和谐的相处吧！看完记得转给舍友看，让TA也一起学习哦！#小知识#,在寝室的细节中体现你的教养
不同颜色的蔬菜有不同的保健作用，该怎么吃你知道吗？（详情如图）#小知识#,蔬菜水果中的健康颜色密码
熟红薯98.7%，生红薯94.4％，芦笋93.9%，花椰菜82.8%，卷心菜91.4％，菜花90.8%，欧芹83.7%，茄子皮74%，甜椒55.5%，胡萝卜46.5%，金花菜37.6%，荠菜35.4%，苤蓝34.7%，芥菜32.9%，雪里蕻29.8%，番茄23.8%。。。,日本国立癌症预防研究所公布抑癌蔬菜排行
喝水可以减肥，那么到底要怎样喝水才可以减肥呢？让这个帖子来告诉你~（via@生活小智慧）,怎样喝水才能狂瘦不止
1，防晕车。上车前后，取新鲜的橘子皮，对准鼻孔，用手指挤捏，预防晕车；2，治咳嗽。用干橘皮5克，加水2杯煎汤后，放少量姜末、红糖趁热服用。3，橘皮粥。在粥烧滚前，放入几小块干净的橘子皮，芳香可口而且开胃。4，做陈皮。可调中开胃。,橘子皮的妙用
不按时吃饭的MM要记住这几点！好好的照顾自己！ 要对镜子里的你负责。,不按时吃饭女生必学如何保养？
1、一公升水加上半粒柠檬原汁，并置於冰箱里。2、每日至少喝下三公升的柠檬水，不需特别节食或禁绝零食，但必须时时补充柠檬水。3、必须搭配每日15分钟运动，不必持续进行，分散时间亦可有助于排汗，目的是为了排除体内有害物质。,午后犯困，巧用柠檬提神又瘦身
平躺在床上，做200下空中蹬自行车的运动，然后把腿搭在墙上抬高竟至10分钟以上，如果能做一些“剪刀”运动，即双腿尽量往两边张开再合上，瘦腿效果会更好。坚持哦，美腿是练出来的。,美腿是练出来的
1、喜欢红色的男人，感情很热烈，但脾气稍显暴躁；2、喜欢蓝色的男人，喜欢独处，不爱热闹。3、喜欢黄色的男人非常开朗单纯，但也不免有些孩子气。4、喜欢绿色的男人个性沉稳、有很好的品味，是典型的大众情人。5、喜欢黑色的人寡言少语，不是一个很好的谈话对象，但是稳重。,从喜欢颜色看男人的性格
"女人与一般异性朋友交往只适宜在公开的场合,比如吃饭,跳舞,集体旅游等,但不要轻易接受对方的礼物,更不给男人在小环境单独相处的机会,因为这样做的结果只有两种,要么你顺从他成为俘虏,要么翻脸后连朋友都做不成.当男人最初试探性的诱惑的时必须当机立断的婉拒,除非你把这种诱惑当作一种幸福",男女交往
㈠补钙的最佳时间、㈡健美身材的最桂时间、㈢防胖的最佳时间、㈣防心脏病的的最佳时间、㈤治疗盆腔炎的最佳时间 （详情如图）#小智慧#,女人的五个最佳时间
周围有没有快要结婚的朋友们啊？教你闹洞房41招，赶紧学着点，留着祸害你的好姐妹好兄弟去吧！哈哈！！#轻松一下#,闹洞房41招
1.牙龈出血吃猕猴桃。2.除脚气吃橙子。3.眼疲劳吃蓝莓。4.木瓜缓解消化不良。5.便秘吃苹果。6.过度用脑吃香蕉。7.防皱洁肤吃芒果。,水果解决身体麻烦
【旅游时备用】防骗手册,旅游时备用防骗手册
【情绪低落】：低脂低蛋白和高碳水化合物；【易怒】：糙米、荞麦、全麦黑面包、甘薯等可刺激复合胺分泌令人安静；【多疑】：不要吃得太少，不长期吃素；【感伤】：多补充富含色氨酸、镁的食物如香蕉、葡萄、苹果、橙子等；【慵懒】：血豆腐加青椒。,合理饮食可改善坏情绪
女生照顾自己，男生照顾女生！（via@时尚女性）,十二种消除痛经的简单方法！
1、土豆烧牛肉；2、小葱拌豆腐；3、豆浆冲鸡蛋；4、茶叶煮鸡蛋；5、炒鸡蛋放味精；6、红白萝卜混吃；7、萝卜水果通吃 ；8、海味与水果同食；9、牛奶与橘子同食；10、酒与胡萝卜同食,这些都是有毒的家常菜，需要注意了
超简单！如何复制百度文库的内容（via@微博男女）,如何复制百度文库的内容
1）食物多样，谷类为主；2）多吃蔬菜、水果、薯类；3）每天吃奶及豆类、豆制品；4）常吃适量鱼禽蛋瘦肉，少吃肥肉及荤油；5）吃清淡及少盐膳食；6）食量和体力活动相适应，保持适宜体重；7）饮酒限量；8）吃清洁卫生的食物。早中晚餐的能量，分别占总能量的30%、40%、30%为宜,中国居民膳食指南
"1、常吃宵夜，会得胃癌。因为胃得不到休息。2、一个星期只能吃四个鸡蛋。吃太多。对身体不好。3、鸡屁股含有致癌物，不要吃。4、饭后吃水果是错误的。应饭前吃水果。5、女生月经来时,不要喝绿茶。茶类不要喝就对了。多吃可以补血的食物。6、喝豆浆时不要加鸡蛋及糖。也不要喝太多。",健康饮食小常识
1.胃要排毒：舌苔发黄、口臭，好多人都感觉“吃不饱”；2.脾要排毒：面部长斑、白带增多；小肠要排毒：下巴出现痘痘；3.肾脏要排毒：面部或者身体水肿、疲倦感增加；4.心脏要排毒：溃疡长在舌头;5.肝要排毒：指甲上会有明显的信号,必须排毒的征兆
【知道你为啥是个药罐子、病秧子吗？】因为没洗手！记住，做完下面的事都要洗手的！1.看报纸 2.取牛奶 3.外出回来 4.拿钱包或钞票 5.拿菜单点菜 6.使用电脑、鼠标、手机 7.晾衣服 8.捂嘴打喷嚏、擤鼻涕、上厕所 9.触摸宠物 10.换尿片。,10件事后要洗手
俗话说一白遮百丑，像大S一样的美白宣言，现在就告诉大家一些美白秘方，赶快收藏起来吧！（via@时尚女性）,16种美白秘方
1、胎儿型：外刚内柔，充满无法抗拒的魅力；2、 树干型：性格开朗，具有领导力和号召力；3、思念型：性格外向，易融入集体，但多疑且偏激；4、士兵式：保守，很原则性，一贯强势；5、海星型：乐于助人，朋友很多，标准的老好人；6、自由落体型：好动，个性倔强不服输。。。,六种睡姿六种性格
那些你不知道的手机秘密,那些你不知道的手机秘密
1.不要立刻吃水果。2.不要立刻喝茶。3.不要立刻吸烟。4.不要立刻多饮水。5.不要立刻喝汽水。6.不要立刻吃糖。7.不要立刻做剧烈运动。8.不要立刻看书。9.不要立刻洗澡。——至少应该是饭后1小时才能从事上述活动。,女人饭后不可做的九件事
据网络流传:阿尔卑斯的谐音是爱你一辈子，原味代表经典的爱情，芒果代表暗恋，纯牛奶代表真心爱你，柠檬代表酸酸甜甜的爱，草莓代表幸福和喜欢，香蕉代表温馨，蜜桃代表甜蜜。原来还有这涵义，知道吗？,阿尔卑斯糖的背后含义
①、改变饮食模式。多喝水；避免暴饮暴食；饭吃七分饱。②、常规锻炼，规律睡眠。③、蹲姿排便。减少肠癌和痔疮的发病。④、摄入抗氧化剂。如绿茶、黑巧克力、红葡萄酒。⑤、减少压力。感觉压力大时做深呼吸；尽可能地消除恐惧感；生活有目标。⑥、常用脑。,从小事做起，让你健康长寿
很多学习折蝴蝶结的教程是韩文，比较难懂，本教程有详细的做法步骤，很漂亮，也很简单哟～@动手达人,美丽蝴蝶结DIY折纸
中国-牡丹 。英国-玫瑰。俄罗斯-向日葵。意大利-雏菊。韩国-木槿花。日本-樱花。墨西哥-仙人掌。荷兰-郁金香。智利-百合花。法国-鸢尾花。巴西-毛蟹爪莲。德国-矢车菊。埃及，柬埔寨，泰国-睡莲。比利时-虞美人。波兰-三色堇。新加坡-万代兰。西班牙-石榴。,世界各国国花
①去汗渍，少许牙膏搓洗；②擦玻璃；③除锈，涂上牙膏进行擦洗水龙头锈渍；④除腥，清洗鱼后，用牙膏洗手；⑤修复，牙膏擦拭银器可重回光亮；⑥消炎，被蚊虫叮咬后涂点牙膏止痒；⑦皮肤小面积擦伤、烫伤，涂牙膏可止痛。,牙膏的几个小妙用
1、学会换位思考；2、学会适应环境；3、学会大方；4、学会低调；5、嘴要甜；6、有礼貌；7、言多必失；8、学会感恩；9、遵守时间；10、信守诺言；11、学会忍耐；12、有一颗平常心；13、学会赞扬别人；14、待上以敬，待下以宽；15、经常检讨自己。,建立人脉15提示
做法： 1、将土豆去皮洗净，切成长条状，放入沸水中煮3分钟，捞出沥干水分晾凉。2、用厨房纸吸干水份，然后放入冰箱中冷冻。3、锅中放入适量油，加热至6成热时放入冻好的薯条，炸至金黄色即可捞出沥干油份。吃的时候撒少许盐，沾番茄酱会更加美味。#美食#,自制炸薯条
1、蜂蜜水加洗面奶 肌肤快速变细滑；2、番茄配柠檬对黑头粉刺 特别有效，还有清洁、美白 、镇定作用；3、蛋壳的薄膜据说也可以清除黑头，而且可以收缩毛孔；4、盐加牛奶去黑头；5、珍珠粉 可以很好地清除老化角质和黑头,去黑头的DIY秘方
1、不吃早餐害处多；2、睡前吃东西容易增肥；3、暴饮暴食；4、饿着不吃更容易堆积脂肪；5、边吃东西边做事容易吃过量；6、吃得太快会摄入多余热量；7、饮水太少影响新陈代谢；8、吃水果和蔬菜太少损失营养；9、饿着肚子购物易导致进食垃圾食品。(@时尚女性养生堂 ),九个坏习惯让你“罪”肉横生
【韩式炸酱面的做法】#DIY美食#@动手达人,韩式炸酱面的做法
1、选用一些带红色素调的矫色霜，可有效遮盖黑眼圈，细纹位点上遮瑕霜；2、在眼下、暗疮印、雀班及细纹位点上遮瑕霜，再轻轻扫开。3、上粉；4、眼影选用自然色系如非色，效果较自然。5、在颧骨笑位打上自然肌色的胭脂，令论廓更突出。6、涂上玫瑰色唇膏便完成。,15分钟打造无暇美肌裸妆
"1.水平躺在床上，双腿并在一起，双手放在身体两侧。2.吸气双手和上半身不动，双腿一直并着，向上慢慢举成45度，保持1分钟，完成一次吸气吐气过程。3.再努力往上抬大腿，腿与上半身90度直角，小腹肌肉紧绷，吸气时注意收腹，吐气时气从鼻孔出来,保持1分钟腿再慢慢放下",一个动作轻松搞定瘦腰美腿
放松全身站在镜子前，深呼吸5次后，仔细观察肚脐的形状，然后判断自己的健康状况。以下是肚脐形状发出的健康警示以及为大家提供的健康小提示。#健康#,肚脐的形状是身体健康的镜子
你对蜂蜜到底懂多少呢？赶快来普及一下吧！#小知识#,蜂蜜：不是乱喝的
美国《预防》杂志列出14个长寿迹象，看看你符合几项？1.出生时母亲还年轻； 2.爱喝茶； 3.每天步行30分钟； 4.少喝碳酸饮料； 5.腿部健壮；6.吃紫色食物；7.青少年时体重正常；8.少吃红肉；9.上过大学；10.人缘好；11.朋友身体健康；12.自制力强；13.不请保姆；14.性格活跃。#健康#,14种因素有助长寿
2种不同的瘦腿方法，既适合没有时间瘦身的坐班族，也适合想要变美的学生族们！,俏丽MM瘦腿法
大多数人把冰箱买回家，一般只会用它来冷藏和保鲜食物，殊不知，冰箱其实还有很多妙用之处，这些新的用途可以给你生活带来更多的方便。@CooL鱼,冰箱奇妙的用途
